season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,status,exit_week,exit_week_inferred,week,judge_total,num_judges,zero_placeholder,active
27,Nancy McKeon,Valentin Chmerkovskiy,Actor/Actress,New York,United States,52,Eliminated Week 3,11,eliminated,3,0,3,22.0,3,0,1
27,John Schneider,Emma Slater,Actor/Actress,New York,United States,58,Eliminated Week 7,8,eliminated,7,0,3,21.0,3,0,1
27,Milo Manheim,Witney Carson,Actor/Actress,California,United States,17,2nd Place,2,finalist,9,1,3,27.0,3,0,1
27,Danelle Umstead,Artem Chigvintsev,Athlete,New Mexico,United States,46,Eliminated Week 2,12,eliminated,2,0,3,,0,1,0
27,Mary Lou Retton,Sasha Farber,Athlete,West Virginia,United States,50,Eliminated Week 6,9,eliminated,6,0,3,24.0,3,0,1
27,DeMarcus Ware,Lindsay Arnold,Athlete,Alabama,United States,36,Eliminated Week 7,7,eliminated,7,0,3,26.0,3,0,1
27,Nikki Glaser,Gleb Savchenko,Comedian,Ohio,United States,34,Eliminated Week 1,13,eliminated,1,0,3,,0,1,0
27,Bobby Bones,Sharna Burgess,Radio Personality,Arkansas,United States,38,1st Place,1,finalist,9,1,3,23.0,3,0,1
27,Tinashe,Brandon Armstrong,Singer/Rapper,Kentucky,United States,25,Eliminated Week 4,10,eliminated,4,0,3,27.0,3,0,1
27,Alexis Ren,Alan Bersten,Social Media Personality,California,United States,21,4th Place,4,finalist,9,1,3,26.0,3,0,1
27,Joe Amabile,Jenna Johnson,TV Personality,Illinois,United States,32,Eliminated Week 8,6,eliminated,8,0,3,18.0,3,0,1
28,Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,Eliminated Week 8,7,eliminated,8,0,3,24.0,3,0,1
28,James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,Eliminated Week 10,5,eliminated,10,0,3,23.0,3,0,1
28,Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,2nd Place,2,finalist,11,1,3,20.0,3,0,1
28,Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,Withdrew,11,withdrew,2,1,3,,0,1,0
28,Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,Eliminated Week 4,10,eliminated,4,0,3,12.0,3,0,1
28,Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,Eliminated Week 6,9,eliminated,6,0,3,23.0,3,0,1
28,Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,Eliminated Week 9,6,eliminated,9,0,3,15.0,3,0,1
28,Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,Eliminated Week 2,12,eliminated,2,0,3,,0,1,0
28,Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,4th Place,4,finalist,11,1,3,20.0,3,0,1
28,Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,3rd Place,3,finalist,11,1,3,24.0,3,0,1
28,Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,Eliminated Week 7,8,eliminated,7,0,3,16.0,3,0,1
28,Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,1st Place,1,finalist,11,1,3,21.0,3,0,1
29,Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,Eliminated Week 4,13,eliminated,4,0,3,15.0,3,0,1
29,Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,Eliminated Week 5,12,eliminated,5,0,3,20.0,3,0,1
29,Chrishell Stause,Gleb Savchenko,Actor/Actress,Kentucky,United States,39,Eliminated Week 8,8,eliminated,8,0,3,22.0,3,0,1
29,Skai Jackson,Alan Bersten,Actor/Actress,New York,United States,18,Eliminated Week 10,5,eliminated,10,0,3,18.0,3,0,1
29,Justina Machado,Sasha Farber,Actor/Actress,Illinois,United States,48,4th Place,4,finalist,11,1,3,19.0,3,0,1
29,Charles Oakley,Emma Slater,Athlete,Ohio,United States,56,Eliminated Week 2,15,eliminated,2,0,3,,0,1,0
29,Veron Davis,Peta Murgatroyd,Athlete,Washington D.C.,United States,36,Eliminated Week 6,11,eliminated,6,0,3,22.0,3,0,1
29,Johnny Weir,Britt Stewart,Athlete,Pennsylvania,United States,36,Eliminated Week 10,6,eliminated,10,0,3,24.0,3,0,1
29,Nev Schulman,Jenna Johnson,Producer,New York,United States,35,2nd Place,2,finalist,11,1,3,24.0,3,0,1
29,AJ McLean,Cheryl Burke,Singer/Rapper,Florida,United States,42,Eliminated Week 9,7,eliminated,9,0,3,21.0,3,0,1
29,Nelly,Daniella Karagach,Singer/Rapper,Texas,United States,45,3rd Place,3,finalist,11,1,3,18.0,3,0,1
29,Kaitlyn Bristowe,Artem Chigvintsev,TV Personality,,Canada,35,1st Place,1,finalist,11,1,3,23.0,3,0,1
29,Carole Baskin,Pasha Pashkov,TV Personality,Texas,United States,59,Eliminated Week 3,14,eliminated,3,0,3,12.0,3,0,1
29,Monica Aldama,Valentin Chmerkovskiy,TV Personality,Alabama,United States,48,Eliminated Week 7,10,eliminated,7,0,3,21.0,3,0,1
29,Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,Withdrew,9,withdrew,7,1,3,22.0,3,0,1
30,Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,Eliminated Week 2,15,eliminated,2,0,3,,0,1,0
30,Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,Eliminated Week 4,13,eliminated,4,0,3,19.0,3,0,1
30,Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,Eliminated Week 9,6,eliminated,9,0,3,23.0,3,0,1
30,Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,Eliminated Week 4,12,eliminated,4,0,3,20.0,3,0,1
30,"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,Eliminated Week 7,9,eliminated,7,0,3,22.0,3,0,1
30,Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,Eliminated Week 9,5,eliminated,9,0,3,21.0,3,0,1
30,Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,1st Place,1,finalist,10,1,3,19.0,3,0,1
30,Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,3rd Place,3,finalist,10,1,3,18.0,3,0,1
30,Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,Eliminated Week 5,11,eliminated,5,0,3,22.0,3,0,1
30,Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,Eliminated Week 8,7,eliminated,8,0,3,20.0,3,0,1
30,Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,Eliminated Week 8,8,eliminated,8,0,3,24.0,3,0,1
30,JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,2nd Place,2,finalist,10,1,3,24.0,3,0,1
30,Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,Eliminated Week 3,14,eliminated,3,0,3,21.0,3,0,1
30,Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,Eliminated Week 6,10,eliminated,6,0,3,21.0,3,0,1
30,Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,4th Place,4,finalist,10,1,3,24.0,3,0,1
31,Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,Eliminated Week 1,16,eliminated,1,0,3,,0,1,0
31,Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,Eliminated Week 3,14,eliminated,3,0,3,24.0,4,0,1
31,Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,Withdrew,12,withdrew,5,1,3,28.0,4,0,1
31,Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,Eliminated Week 5,11,eliminated,5,0,3,29.0,4,0,1
31,Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,Eliminated Week 9,6,eliminated,9,0,3,27.0,4,0,1
31,Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,Eliminated Week 9,5,eliminated,9,0,3,31.0,4,0,1
31,Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,3rd Place,3,finalist,10,1,3,33.0,4,0,1
31,Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,Eliminated Week 4,13,eliminated,4,0,3,25.0,4,0,1
31,Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,Eliminated Week 6,10,eliminated,6,0,3,26.0,4,0,1
31,Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,Eliminated Week 7,9,eliminated,7,0,3,29.0,4,0,1
31,Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,Eliminated Week 8,8,eliminated,8,0,3,32.0,4,0,1
31,Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,1st Place,1,finalist,10,1,3,33.0,4,0,1
31,Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,Eliminated Week 2,15,eliminated,2,0,3,,0,1,0
31,Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,Eliminated Week 8,7,eliminated,8,0,3,23.0,4,0,1
31,Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,4th Place,4,finalist,10,1,3,30.0,4,0,1
31,Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,2nd Place,2,finalist,10,1,3,33.0,4,0,1
32,Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,Eliminated Week 2,13,eliminated,2,0,3,,0,1,0
32,Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,Eliminated Week 5,10,eliminated,5,0,3,26.0,4,0,1
32,Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,Eliminated Week 8,7,eliminated,8,0,3,25.0,4,0,1
32,Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,5th Place,5,finalist,11,1,3,24.0,4,0,1
32,Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,1st Place,1,finalist,11,1,3,32.0,4,0,1
32,Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,Eliminated Week 4,11,eliminated,4,0,3,22.0,4,0,1
32,Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,Eliminated Week 1,14,eliminated,1,0,3,,0,1,0
32,Tyson Beckford,Jenna Johnson,Model,New York,United States,52,Eliminated Week 3,12,eliminated,3,0,3,20.0,4,0,1
32,Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,2nd Place,2,finalist,11,1,3,34.0,4,0,1
32,Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,Eliminated Week 7,8,eliminated,7,0,3,27.0,4,0,1
32,Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,Eliminated Week 9,6,eliminated,9,0,3,24.0,4,0,1
32,Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,Eliminated Week 6,9,eliminated,6,0,3,23.0,4,0,1
32,Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,4th Place,4,finalist,11,1,3,32.0,4,0,1
32,Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,3rd Place,3,finalist,11,1,3,34.0,4,0,1
33,Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,Eliminated Week 2,12,eliminated,2,0,3,,0,1,0
33,Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,Eliminated Week 3,10,eliminated,3,0,3,23.0,4,0,1
33,Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,Eliminated Week 3,10,eliminated,3,0,3,21.0,4,0,1
33,Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,3rd Place,3,finalist,9,1,3,34.5,4,0,1
33,Dwight Howard,Daniella Karagach,Athlete,Georgia,United States,38,Eliminated Week 7,6,eliminated,7,0,3,26.0,4,0,1
33,Danny Amendola,Witney Carson,Athlete,Texas,United States,39,5th Place,5,finalist,9,1,3,30.0,4,0,1
33,Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,4th Place,4,finalist,9,1,3,31.0,4,0,1
33,Ilona Maher,Alan Bersten,Athlete,California,United States,28,2nd Place,2,finalist,9,1,3,28.0,4,0,1
33,Anna Delvey,Ezra Sosa,Con artist,,Russia,33,Eliminated Week 2,12,eliminated,2,0,3,,0,1,0
33,Brooks Nader,Gleb Savchenko,Model,New York,United States,27,Eliminated Week 4,9,eliminated,4,0,3,30.5,4,0,1
33,Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,Eliminated Week 5,8,eliminated,5,0,3,28.0,4,0,1
33,Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,Eliminated Week 6,7,eliminated,6,0,3,31.0,4,0,1
33,Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,1st Place,1,finalist,9,1,3,35.0,4,0,1
34,Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,Eliminated Week 2,13,eliminated,2,0,3,,0,1,0
34,Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,Eliminated Week 8,8,eliminated,8,0,3,21.0,3,0,1
34,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,5th Place,5,finalist,11,1,3,21.0,3,0,1
34,Baron Davis,Britt Stewart,Athlete,California,United States,46,Eliminated Week 2,13,eliminated,2,0,3,,0,1,0
34,Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,3rd Place,3,finalist,11,1,3,24.0,3,0,1
34,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,Eliminated Week 9,7,eliminated,9,0,3,18.0,3,0,1
34,Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,1st Place,1,finalist,11,1,3,22.0,3,0,1
34,Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,Eliminated Week 4,11,eliminated,4,0,3,22.0,3,0,1
34,Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,Eliminated Week 3,12,eliminated,3,0,3,18.0,3,0,1
34,Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,Eliminated Week 6,10,eliminated,6,0,3,22.0,3,0,1
34,Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,2nd Place,2,finalist,11,1,3,23.0,3,0,1
34,Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,Eliminated Week 7,9,eliminated,7,0,3,19.0,3,0,1
34,Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,Eliminated Week 10,6,eliminated,10,0,3,24.0,3,0,1
34,Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,4th Place,4,finalist,11,1,3,23.0,3,0,1
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,finalist,6,1,4,21.0,3,0,1
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,finalist,6,1,4,26.0,3,0,1
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,eliminated,3,0,4,,0,1,0
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,eliminated,4,0,4,25.0,3,0,1
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,finalist,6,1,4,20.0,3,0,1
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,eliminated,2,0,4,,0,1,0
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,eliminated,2,0,4,,0,1,0
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,eliminated,5,0,4,25.0,3,0,1
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,eliminated,6,0,4,21.0,3,0,1
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,eliminated,7,0,4,26.0,3,0,1
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,finalist,8,1,4,26.0,3,0,1
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,finalist,8,1,4,24.0,3,0,1
2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,eliminated,3,0,4,,0,1,0
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,eliminated,4,0,4,8.0,3,0,1
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,finalist,8,1,4,28.0,3,0,1
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,eliminated,1,0,4,,0,1,0
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,eliminated,3,0,4,,0,1,0
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,eliminated,4,0,4,24.0,3,0,1
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,eliminated,8,0,4,24.0,3,0,1
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,finalist,10,1,4,27.0,3,0,1
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,finalist,10,1,4,29.0,3,0,1
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,finalist,10,1,4,24.0,3,0,1
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,eliminated,2,0,4,,0,1,0
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,eliminated,5,0,4,28.0,3,0,1
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,withdrew,5,1,4,20.0,3,0,1
3,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,eliminated,7,0,4,22.0,3,0,1
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,eliminated,1,0,4,,0,1,0
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,eliminated,7,0,4,16.0,3,0,1
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,eliminated,9,0,4,24.0,3,0,1
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,eliminated,5,0,4,15.0,3,0,1
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,finalist,10,1,4,21.0,3,0,1
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,finalist,10,1,4,26.0,3,0,1
4,Shandi Finnessey,Brian Fortuna,Beauty Pageant,Missouri,United States,28,Eliminated Week 3,10,eliminated,3,0,4,,0,1,0
4,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,Eliminated Week 2,11,eliminated,2,0,4,,0,1,0
4,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,eliminated,6,0,4,23.0,3,0,1
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,eliminated,8,0,4,21.0,3,0,1
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,finalist,10,1,4,28.0,3,0,1
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,eliminated,4,0,4,16.0,3,0,1
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,Eliminated Week 8,5,eliminated,8,0,4,27.0,3,0,1
5,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,Eliminated Week 7,6,eliminated,7,0,4,26.0,3,0,1
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,Eliminated Week 6,7,eliminated,6,0,4,30.0,3,0,1
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,Eliminated Week 9,4,eliminated,9,0,4,27.0,3,0,1
5,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,Eliminated Week 4,9,eliminated,4,0,4,23.0,3,0,1
5,Josie Maran,Alec Mazo,Model,California,United States,29,Eliminated Week 1,12,eliminated,1,0,4,,0,1,0
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,eliminated,2,0,4,,0,1,0
5,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,1st Place,1,finalist,10,1,4,27.0,3,0,1
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,2nd Place,2,finalist,10,1,4,26.0,3,0,1
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,Eliminated Week 3,10,eliminated,3,0,4,,0,1,0
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3rd Place,3,finalist,10,1,4,26.0,3,0,1
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,Eliminated Week 5,8,eliminated,5,0,4,22.0,3,0,1
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,finalist,10,1,4,26.0,3,0,1
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,eliminated,3,0,4,,0,1,0
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,eliminated,5,0,4,22.0,3,0,1
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,eliminated,6,0,4,24.0,3,0,1
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,eliminated,7,0,4,28.0,3,0,1
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,eliminated,9,0,4,24.0,3,0,1
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,finalist,10,1,4,29.0,3,0,1
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,finalist,10,1,4,29.0,3,0,1
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,eliminated,2,0,4,,0,1,0
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,eliminated,2,0,4,,0,1,0
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,eliminated,4,0,4,19.0,3,0,1
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,eliminated,8,0,4,24.0,3,0,1
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,eliminated,1,0,4,,0,1,0
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,eliminated,6,0,4,22.0,3,0,1
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,eliminated,7,0,4,24.0,3,0,1
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,eliminated,9,0,4,23.0,3,0,1
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,withdrew,2,1,4,,0,1,0
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,eliminated,8,0,4,20.0,3,0,1
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,finalist,10,1,4,22.0,3,0,1
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,eliminated,1,0,4,,0,1,0
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,eliminated,5,0,4,22.0,3,0,1
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,finalist,10,1,4,26.0,3,0,1
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,eliminated,2,0,4,,0,1,0
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,eliminated,4,0,4,18.0,3,0,1
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,finalist,10,1,4,26.0,3,0,1
8,Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,2nd Place,2,finalist,11,1,4,30.0,3,0,1
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,eliminated,3,0,4,,0,1,0
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,eliminated,5,0,4,22.0,3,0,1
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,Eliminated Week 7,7,eliminated,7,0,4,19.0,3,0,1
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,Eliminated Week 10,4,eliminated,10,0,4,25.0,3,0,1
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1st Place,1,finalist,11,1,4,25.0,3,0,1
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,Eliminated Week 4,10,eliminated,4,0,4,12.0,3,0,1
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,eliminated,2,0,4,,0,1,0
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,eliminated,8,0,4,22.0,3,0,1
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,Eliminated Week 9,5,eliminated,9,0,4,27.0,3,0,1
8,Steve-O,Lacey Schwimmer,TV Personality,,England,34,Eliminated Week 6,8,eliminated,6,0,4,15.0,3,0,1
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,Eliminated Week 4,11,eliminated,4,0,4,16.0,3,0,1
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3rd Place,3,finalist,11,1,4,29.0,3,0,1
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,eliminated,1,0,4,,0,1,0
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,eliminated,3,0,4,,0,1,0
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,eliminated,6,0,4,28.0,3,0,1
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,eliminated,7,0,4,22.0,3,0,1
9,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,eliminated,4,0,4,17.0,3,0,1
9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,eliminated,5,0,4,24.0,3,0,1
9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,eliminated,6,0,4,16.0,3,0,1
9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,eliminated,7,0,4,16.0,3,0,1
9,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,eliminated,9,0,4,26.0,3,0,1
